#flow_id,protocol,first_seen,last_seen,duration,src_ip,src_port,dst_ip,dst_port,ndpi_proto_num,ndpi_proto,server_name_sni,c_to_s_pkts,c_to_s_bytes,c_to_s_goodput_bytes,s_to_c_pkts,s_to_c_bytes,s_to_c_goodput_bytes,data_ratio,str_data_ratio,c_to_s_goodput_ratio,s_to_c_goodput_ratio,iat_flow_min,iat_flow_avg,iat_flow_max,iat_flow_stddev,iat_c_to_s_min,iat_c_to_s_avg,iat_c_to_s_max,iat_c_to_s_stddev,iat_s_to_c_min,iat_s_to_c_avg,iat_s_to_c_max,iat_s_to_c_stddev,pktlen_c_to_s_min,pktlen_c_to_s_avg,pktlen_c_to_s_max,pktlen_c_to_s_stddev,pktlen_s_to_c_min,pktlen_s_to_c_avg,pktlen_s_to_c_max,pktlen_s_to_c_stddev,cwr,ece,urg,ack,psh,rst,syn,fin,c_to_s_cwr,c_to_s_ece,c_to_s_urg,c_to_s_ack,c_to_s_psh,c_to_s_rst,c_to_s_syn,c_to_s_fin,s_to_c_cwr,s_to_c_ece,s_to_c_urg,s_to_c_ack,s_to_c_psh,s_to_c_rst,s_to_c_syn,s_to_c_fin,c_to_s_init_win,s_to_c_init_win,server_info,tls_version,ja3c,tls_client_unsafe,ja3s,tls_server_unsafe,tls_alpn,tls_supported_versions,ssh_client_hassh,ssh_server_hassh,flow_info,plen_bins,http_user_agent
52,6,1652020054.262,1652020054.268,0.006,52.214.151.249,443,192.168.1.6,62817,91.265,TLS.AmazonAWS,,2,156,24,3,186,0,-0.088,Mixed,15.3,0.0,6,6.0,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,66,78.0,90,12.0,54,62.0,66,5.7,0,0,0,5,1,1,0,1,0,0,0,2,1,0,0,1,0,0,0,3,0,1,0,0,0,0,,0,,0,,0,,,,,,100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,

23,6,1652020048.059,1652020048.070,0.011,192.168.1.6,62787,35.186.224.25,443,91.284,TLS.GoogleCloud,,1,54,0,1,66,0,-0.100,Mixed,0.0,0.0,10,10.0,10,0.0,0,0.0,0,0.0,0,0.0,0,0.0,54,54.0,54,0.0,66,66.0,66,0.0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,,0,,0,,,,,,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,

31,6,1652020049.699,1652020050.086,0.387,45.57.90.1,443,192.168.1.6,62812,91.133,TLS.NetFlix,,3,222,24,4,252,0,-0.063,Mixed,10.8,0.0,39,128.3,237,82.0,39,138.0,237,99.0,0,138.5,277,138.5,66,74.0,90,11.3,54,63.0,66,5.2,0,0,0,7,1,1,0,2,0,0,0,3,1,0,0,2,0,0,0,4,0,1,0,0,0,0,,0,,0,,0,,,,,,100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,

53,6,1652020054.263,1652020054.268,0.005,52.214.151.249,443,192.168.1.6,62820,91.265,TLS.AmazonAWS,,2,156,24,3,186,0,-0.088,Mixed,15.3,0.0,5,5.0,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,66,78.0,90,12.0,54,62.0,66,5.7,0,0,0,5,1,1,0,1,0,0,0,2,1,0,0,1,0,0,0,3,0,1,0,0,0,0,,0,,0,,0,,,,,,100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,

32,6,1652020049.937,1652020050.132,0.195,45.57.90.1,443,192.168.1.6,62813,91.133,TLS.NetFlix,,5,402,72,5,354,0,0.063,Mixed,17.9,0.0,26,48.2,83,21.2,65,48.5,129,53.5,26,8.7,26,12.3,66,80.4,90,11.8,66,70.8,78,5.9,0,0,0,10,3,0,0,2,0,0,0,5,3,0,0,1,0,0,0,5,0,0,0,1,0,0,,0,,0,,0,,,,,,100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,

