#flow_id,protocol,first_seen,last_seen,duration,src_ip,src_port,dst_ip,dst_port,ndpi_proto_num,ndpi_proto,server_name_sni,c_to_s_pkts,c_to_s_bytes,c_to_s_goodput_bytes,s_to_c_pkts,s_to_c_bytes,s_to_c_goodput_bytes,data_ratio,str_data_ratio,c_to_s_goodput_ratio,s_to_c_goodput_ratio,iat_flow_min,iat_flow_avg,iat_flow_max,iat_flow_stddev,iat_c_to_s_min,iat_c_to_s_avg,iat_c_to_s_max,iat_c_to_s_stddev,iat_s_to_c_min,iat_s_to_c_avg,iat_s_to_c_max,iat_s_to_c_stddev,pktlen_c_to_s_min,pktlen_c_to_s_avg,pktlen_c_to_s_max,pktlen_c_to_s_stddev,pktlen_s_to_c_min,pktlen_s_to_c_avg,pktlen_s_to_c_max,pktlen_s_to_c_stddev,cwr,ece,urg,ack,psh,rst,syn,fin,c_to_s_cwr,c_to_s_ece,c_to_s_urg,c_to_s_ack,c_to_s_psh,c_to_s_rst,c_to_s_syn,c_to_s_fin,s_to_c_cwr,s_to_c_ece,s_to_c_urg,s_to_c_ack,s_to_c_psh,s_to_c_rst,s_to_c_syn,s_to_c_fin,c_to_s_init_win,s_to_c_init_win,server_info,tls_version,ja3c,tls_client_unsafe,ja3s,tls_server_unsafe,tls_alpn,tls_supported_versions,ssh_client_hassh,ssh_server_hassh,flow_info,plen_bins,http_user_agent
67,6,1650477429.678,1650477429.806,0.128,192.168.1.6,60706,142.250.200.46,443,91.126,TLS.Google,play.google.com,20,2875,1531,17,10692,9549,-0.576,Download,53.2,89.3,1,13.6,44,13.5,0,6.1,44,11.7,0,6.0,44,12.7,66,143.8,583,151.2,68,628.9,1484,570.9,0,0,0,36,19,0,2,0,0,0,0,19,9,0,1,0,0,0,0,17,10,0,1,0,78,76,,TLSv1.3,656b9a2f4de6ed4909e157482860ab3d,OK,eb1d94daa7e0344597e756a1fb6e7054,OK,h2;http/1.1,,,,h2;http/1.1,9;23;4;0;0;0;0;0;4;4;0;0;4;0;4;0;9;0;0;4;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0,

17,6,1650477314.377,1650477375.100,60.723,192.168.1.6,60691,35.175.40.69,443,91.265,TLS.AmazonAWS,femetrics.grammarly.io,23,3212,1682,20,8421,7096,-0.448,Download,52.3,84.3,1,4327.7,60013,15444.4,0,3188.4,60014,13394.0,0,5030.5,60014,16578.2,54,139.7,641,153.6,60,421.0,1506,557.0,0,0,0,38,18,4,2,2,0,0,0,21,10,1,1,1,0,0,0,17,8,3,1,1,78,76,,TLSv1.2,39393f7cbec6c22fb14ecc6585bbbbdb,OK,1089ea6f0461a29006cc96dfe7a11d80,OK,h2;http/1.1,,,,h2;http/1.1,9;38;4;4;0;0;4;0;0;0;0;4;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;14;0;0,

134,17,1650477598.906,1650477598.948,0.042,192.168.1.6,64991,192.168.1.1,53,5,DNS,sync.infomaniak.com,1,79,37,1,144,102,-0.291,Download,46.3,70.3,41,41.0,41,0.0,0,0.0,0,0.0,0,0.0,0,0.0,79,79.0,79,0.0,144,144.0,144,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,,,,185.125.25.28,0;50;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,

80,6,1650477489.274,1650477534.512,45.238,192.168.1.6,60710,52.97.202.66,443,91.219,TLS.Microsoft365,outlook.office365.com,17,4929,3795,15,8735,7733,-0.279,Download,77.0,88.5,1,3479.1,45086,12010.9,0,3478.9,45086,12010.9,0,4105.7,45086,12959.1,66,289.9,1506,416.0,68,582.3,1506,595.6,0,0,0,31,13,0,2,0,0,0,0,16,4,0,1,0,0,0,0,15,9,0,1,0,78,76,,TLSv1.2,656b9a2f4de6ed4909e157482860ab3d,OK,986571066668055ae9481cb84fda634a,OK,http/1.1,,,,http/1.1,0;22;0;11;5;0;0;0;0;5;0;0;0;0;0;5;5;0;0;0;0;0;0;5;0;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0,

81,6,1650477489.278,1650477549.256,59.978,192.168.1.6,60711,52.97.202.66,443,91.219,TLS.Microsoft365,outlook.office365.com,33,14390,12200,38,14410,11878,-0.001,Mixed,84.8,82.4,1,2722.5,59481,12385.7,0,2391.3,59481,11653.4,0,1990.8,59511,10681.2,66,436.1,1506,554.4,68,379.2,1506,488.1,0,0,0,70,36,0,2,2,0,0,0,32,9,0,1,1,0,0,0,38,27,0,1,1,78,76,,TLSv1.2,656b9a2f4de6ed4909e157482860ab3d,OK,986571066668055ae9481cb84fda634a,OK,http/1.1,,,,http/1.1,2;25;0;2;9;0;13;0;0;0;4;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;4;0;0;6;0;16;0;0,

82,6,1650477489.298,1650477549.256,59.958,192.168.1.6,60712,52.97.202.66,443,91.219,TLS.Microsoft365,outlook.office365.com,70,40583,35951,132,46220,37380,-0.065,Mixed,88.6,80.9,1,2219.4,59483,11230.3,0,1196.0,59483,8326.7,0,539.2,59517,5623.3,66,579.8,1506,658.0,68,350.2,1506,368.6,0,0,0,201,121,0,2,2,0,0,0,69,11,0,1,1,0,0,0,132,110,0,1,1,78,76,,TLSv1.2,656b9a2f4de6ed4909e157482860ab3d,OK,986571066668055ae9481cb84fda634a,OK,http/1.1,,,,http/1.1,0;4;2;2;4;2;44;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;18;0;0,

